
Similarity
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Arthur Lineament,356,0.39416564714274704,0.04990301521223728,0.39199347684861496,0.44185825236412546,0.3463612951024282,0.04589285451435354,1.0,0.603583033435905,0.4912083375776882,0.562833314098024,0.4329165095812234,0.4578976503238379,0.47673880632696286
Success Creek Group,132,0.3453725788001928,0.04605573281887998,0.3650241854604328,0.6167826058362447,0.285288133812883,0.04598045175841625,0.603583033435905,1.0,0.2471348665748947,0.7746759392551561,0.5860452373276128,0.6406844500353729,0.4530203390538088
Wings Sandstone,123,0.3522752576888397,0.04658423784993604,0.2246070188632393,0.2227162839891521,0.33514402023090983,0.017581913391780835,0.4912083375776882,0.2471348665748947,1.0,0.267696014820602,0.2146608355794527,0.21948851688921123,0.3429472620532992
Rocky Cape Group,805,0.33454766598881314,0.04844085022026812,0.35117206951276436,0.6736587992033637,0.26104494517763654,0.046531391785602616,0.562833314098024,0.7746759392551561,0.267696014820602,1.0,0.6403396495061666,0.6709449203300462,0.477094314609555
Tyennan Element,144,0.2523192159357386,0.030198667330371798,0.26380482784481774,0.6840767206309604,0.20304461533620255,0.03269397178560829,0.4329165095812234,0.5860452373276128,0.2146608355794527,0.6403396495061666,1.0,0.7280009080267906,0.2999925177173789
Forest Conglomerant (Togari Group),231,0.3504860482350274,0.0489145128845212,0.31868999962403743,0.7215151813938221,0.2765648028568709,0.05388010705803814,0.4578976503238379,0.6406844500353729,0.21948851688921123,0.6709449203300462,0.7280009080267906,1.0,0.32688962268369215
Stitt Quartzite,35,0.20365296076255035,0.04485171418625111,0.26988519418371026,0.30285948717367983,0.18175230270719978,0.026133206000654274,0.47673880632696286,0.4530203390538088,0.3429472620532992,0.477094314609555,0.2999925177173789,0.32688962268369215,1.0

Kolgomorov-Smirnov Dmax
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Wynyard Formation,583,0.0,0.8740504778240628,0.4549238220159419,0.4798712045981162,0.13379073756432247,0.604315247810779,0.5207710987337869,0.5809033733562036,0.39032757394469314,0.6216336575647486,0.6500857632933105,0.5722453646981949,0.6146532712570448
Devonian-Carboniferous Granitoids,77,0.8740504778240628,0.0,0.922077922077922,0.9210298473456369,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935,0.948051948051948,0.948051948051948,0.935064935064935,0.948051948051948
Mount Read Volcanics,272,0.4549238220159419,0.922077922077922,0.0,0.5376031991744066,0.5551470588235294,0.5551470588235294,0.5685723727693325,0.5691844919786097,0.5625,0.6136691633175009,0.6437908496732027,0.5736408199643493,0.6074579831932773
Oonah Formation,285,0.4798712045981162,0.9210298473456369,0.5376031991744066,0.0,0.5698419602725823,0.8844298245614035,0.3941849004533806,0.1386762360446571,0.6664099272571673,0.1659365805818895,0.17200292397660819,0.12326270221007063,0.3423558897243108
Luina Group,121,0.13379073756432247,0.935064935064935,0.5551470588235294,0.5698419602725823,0.0,0.48295454545454547,0.5846643142353051,0.6590909090909091,0.4793388429752066,0.7024280067758328,0.7355371900826446,0.6536796536796536,0.6987012987012987
Crimson Creek Formation,304,0.604315247810779,0.935064935064935,0.5551470588235294,0.8844298245614035,0.48295454545454547,0.0,0.9506578947368421,0.9506578947368421,0.9506578947368421,0.9547523700555737,0.9572368421052632,0.944078947368421,0.9572368421052632
Arthur Lineament,356,0.5207710987337869,0.935064935064935,0.5685723727693325,0.3941849004533806,0.5846643142353051,0.9506578947368421,0.0,0.3668709567585972,0.5003197222983465,0.4072894130783725,0.5261392009987516,0.4710589036431733,0.2034510433386838
Success Creek Group,132,0.5809033733562036,0.935064935064935,0.5691844919786097,0.1386762360446571,0.6590909090909091,0.9506578947368421,0.3668709567585972,0.0,0.7281966001478196,0.06796536796536796,0.26325757575757575,0.2067099567099567,0.24848484848484848
Wings Sandstone,123,0.39032757394469314,0.935064935064935,0.5625,0.6664099272571673,0.4793388429752066,0.9506578947368421,0.5003197222983465,0.7281966001478196,0.0,0.7266070797353936,0.7715108401084011,0.7427937915742794,0.581184668989547
Rocky Cape Group,805,0.6216336575647486,0.948051948051948,0.6136691633175009,0.1659365805818895,0.7024280067758328,0.9547523700555737,0.4072894130783725,0.06796536796536796,0.7266070797353936,0.0,0.21848688750862663,0.15279503105590062,0.2993788819875776
Tyennan Element,144,0.6500857632933105,0.948051948051948,0.6437908496732027,0.17200292397660819,0.7355371900826446,0.9572368421052632,0.5261392009987516,0.26325757575757575,0.7715108401084011,0.21848688750862663,0.0,0.09523809523809523,0.4851190476190476
Forest Conglomerant (Togari Group),231,0.5722453646981949,0.935064935064935,0.5736408199643493,0.12326270221007063,0.6536796536796536,0.944078947368421,0.4710589036431733,0.2067099567099567,0.7427937915742794,0.15279503105590062,0.09523809523809523,0.0,0.42424242424242425
Stitt Quartzite,35,0.6146532712570448,0.948051948051948,0.6074579831932773,0.3423558897243108,0.6987012987012987,0.9572368421052632,0.2034510433386838,0.24848484848484848,0.581184668989547,0.2993788819875776,0.4851190476190476,0.42424242424242425,0.0

Kolgomorov-Smirnov p-value
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Wynyard Formation,583,1.0,1.454681190786305e-61,1.6707360796950715e-35,1.1102230246251565e-16,0.04991193408671102,1.4432899320127035e-15,2.7389251314414765e-56,3.3306690738754696e-16,2.298161660974074e-14,1.1102230246251565e-16,5.197547572635159e-48,1.9984014443252818e-15,1.892708212380967e-12
Devonian-Carboniferous Granitoids,77,1.454681190786305e-61,1.0,4.440892098500626e-16,8.881784197001252e-16,3.0729787891536826e-56,3.3306690738754696e-16,4.440892098500626e-16,0.0,5.551115123125783e-16,2.4596808200136446e-90,5.551115123125783e-16,2.6597236486784445e-69,2.9832687810997464e-31
Mount Read Volcanics,272,1.6707360796950715e-35,4.440892098500626e-16,1.0,4.2231580564945024e-38,4.440892098500626e-16,2.220446049250313e-16,1.4020012998433053e-47,8.728066750803828e-28,0.0,2.1094237467877974e-15,5.551115123125783e-16,5.551115123125783e-16,2.149258548911348e-11
Oonah Formation,285,1.1102230246251565e-16,8.881784197001252e-16,4.2231580564945024e-38,1.0,1.2577672834668096e-26,4.045931052869688e-138,1.2168886564957989e-22,0.05532777151360124,3.8919318940139106e-38,1.5463085439204605e-05,0.0059050307082727516,0.03713202673555016,0.0009231813448777881
Luina Group,121,0.04991193408671102,3.0729787891536826e-56,4.440892098500626e-16,1.2577672834668096e-26,1.0,2.220446049250313e-16,8.917770502817718e-30,2.2162920386949254e-27,2.731148640577885e-13,1.5900652803816403e-52,4.440892098500626e-16,3.3306690738754696e-16,2.2104540420286867e-13
Crimson Creek Formation,304,1.4432899320127035e-15,3.3306690738754696e-16,2.220446049250313e-16,4.045931052869688e-138,2.220446049250313e-16,1.0,3.3306690738754696e-16,8.881784197001252e-16,5.551115123125783e-16,1.2212453270876722e-15,5.551115123125783e-16,4.440892098500626e-16,7.314637788796227e-43
Arthur Lineament,356,2.7389251314414765e-56,4.440892098500626e-16,1.4020012998433053e-47,1.2168886564957989e-22,8.917770502817718e-30,3.3306690738754696e-16,1.0,4.5357051448036145e-12,1.2212453270876722e-15,1.7763568394002505e-15,4.249202040575758e-27,5.048597340999449e-29,0.12309883051905035
Success Creek Group,132,3.3306690738754696e-16,0.0,8.728066750803828e-28,0.05532777151360124,2.2162920386949254e-27,8.881784197001252e-16,4.5357051448036145e-12,1.0,2.220446049250313e-16,0.6428457139115212,0.00010631846935604816,0.0012851629867214331,0.053521370506009025
Wings Sandstone,123,2.298161660974074e-14,5.551115123125783e-16,0.0,3.8919318940139106e-38,2.731148640577885e-13,5.551115123125783e-16,1.2212453270876722e-15,2.220446049250313e-16,1.0,2.220446049250313e-16,8.53411011195995e-42,1.1102230246251565e-16,3.447752083829414e-09
